collector_fullname,observation_subject,inat_upload,is_wild,taxon_name,no_name_on_list,name_proposition,sample_id,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,picture_free,x_coord,y_coord,ipen,herbivory_(percent),comment_eco,soil_type,weather,temperature_(°C),comment_env,date,collector_orcid,collector_inat,extracted_id,project,geometry
Mazzarine Laboureau,Leaf,1,0,Rosa gallica,0,,dbgi_009428,DCIM/jbc/Rosa gallica_dbgi_009428_01.jpg,DCIM/jbc/Rosa gallica_dbgi_009428_02.jpg,DCIM/jbc/Rosa gallica_dbgi_009428_03.jpg,DCIM/jbc/Rosa gallica_dbgi_009428_04.jpg,DCIM/jbc/Rosa gallica_dbgi_009428_05.jpg,,2574769.2598234345,1097974.8381277593,,,,,,,,20250805111623,0009-0006-7011-4195,@mazzarinel,dbgi_009428,jbc,POINT (2574769.2598234345 1097974.8381277593)
Mazzarine Laboureau,Leaf,1,0,Gladiolus palustris,0,,dbgi_009437,DCIM/jbc/Gladiolus palustris_dbgi_009437_01.jpg,DCIM/jbc/Gladiolus palustris_dbgi_009437_02.jpg,DCIM/jbc/Gladiolus palustris_dbgi_009437_03.jpg,DCIM/jbc/Gladiolus palustris_dbgi_009437_04.jpg,DCIM/jbc/Gladiolus palustris_dbgi_009437_05.jpg,,2574770.7085392275,1097974.820796025,,,,,,,,20250805111743,0009-0006-7011-4195,@mazzarinel,dbgi_009437,jbc,POINT (2574770.7085392275 1097974.820796025)
Mazzarine Laboureau,Leaf,1,0,Erica vagans,0,,dbgi_009473,DCIM/jbc/Erica vagans_dbgi_009473_01.jpg,DCIM/jbc/Erica vagans_dbgi_009473_02.jpg,DCIM/jbc/Erica vagans_dbgi_009473_03.jpg,DCIM/jbc/Erica vagans_dbgi_009473_04.jpg,DCIM/jbc/Erica vagans_dbgi_009473_05.jpg,,2574770.70144989,1097976.0914749783,,,,,,,,20250805111918,0009-0006-7011-4195,@mazzarinel,dbgi_009473,jbc,POINT (2574770.70144989 1097976.0914749783)
Mazzarine Laboureau,Leaf,1,0,Genista sylvestris,0,,dbgi_009481,DCIM/jbc/Genista sylvestris_dbgi_009481_01.jpg,DCIM/jbc/Genista sylvestris_dbgi_009481_02.jpg,DCIM/jbc/Genista sylvestris_dbgi_009481_03.jpg,DCIM/jbc/Genista sylvestris_dbgi_009481_04.jpg,DCIM/jbc/Genista sylvestris_dbgi_009481_05.jpg,,2574771.134200918,1097977.4832082707,,,,,,,,20250805112138,0009-0006-7011-4195,@mazzarinel,dbgi_009481,jbc,POINT (2574771.134200918 1097977.4832082707)
Mazzarine Laboureau,Leaf,1,0,,1,Schrophuleria canina,dbgi_009455,DCIM/jbc/Schrophuleria canina_dbgi_009455_01.jpg,DCIM/jbc/Schrophuleria canina_dbgi_009455_02.jpg,DCIM/jbc/Schrophuleria canina_dbgi_009455_03.jpg,DCIM/jbc/Schrophuleria canina_dbgi_009455_04.jpg,DCIM/jbc/Schrophuleria canina_dbgi_009455_05.jpg,,2574768.3496833127,1097977.0186857604,,,,,,,,20250805112426,0009-0006-7011-4195,@mazzarinel,dbgi_009455,jbc,POINT (2574768.3496833127 1097977.0186857604)
Mazzarine Laboureau,Leaf,1,0,,1,Silene uniflora,dbgi_009435,DCIM/jbc/Silene uniflora_dbgi_009435_01.jpg,DCIM/jbc/Silene uniflora_dbgi_009435_02.jpg,DCIM/jbc/Silene uniflora_dbgi_009435_03.jpg,DCIM/jbc/Silene uniflora_dbgi_009435_04.jpg,DCIM/jbc/Silene uniflora_dbgi_009435_05.jpg,,2574769.7356393607,1097976.1030294679,,,,,,,,20250805112717,0009-0006-7011-4195,@mazzarinel,dbgi_009435,jbc,POINT (2574769.7356393607 1097976.1030294679)
Mazzarine Laboureau,Leaf,1,0,Artemisia campestris,0,,dbgi_009445,DCIM/jbc/Artemisia campestris_dbgi_009445_01.jpg,DCIM/jbc/Artemisia campestris_dbgi_009445_02.jpg,DCIM/jbc/Artemisia campestris_dbgi_009445_03.jpg,DCIM/jbc/Artemisia campestris_dbgi_009445_04.jpg,DCIM/jbc/Artemisia campestris_dbgi_009445_05.jpg,,2574770.006634264,1097977.6378750587,,,,,,,,20250805112918,0009-0006-7011-4195,@mazzarinel,dbgi_009445,jbc,POINT (2574770.006634264 1097977.6378750587)
Mazzarine Laboureau,Leaf,1,0,Thymus praecox,0,,dbgi_009458,DCIM/jbc/Thymus praecox_dbgi_009458_01.jpg,DCIM/jbc/Thymus praecox_dbgi_009458_02.jpg,DCIM/jbc/Thymus praecox_dbgi_009458_03.jpg,DCIM/jbc/Thymus praecox_dbgi_009458_04.jpg,DCIM/jbc/Thymus praecox_dbgi_009458_05.jpg,,2574770.638429071,1097978.2767592042,,,,,,,,20250805113054,0009-0006-7011-4195,@mazzarinel,dbgi_009458,jbc,POINT (2574770.638429071 1097978.2767592042)
Mazzarine Laboureau,Leaf,1,0,Carex arenaria,0,,dbgi_009457,DCIM/jbc/Carex arenaria_dbgi_009457_01.jpg,DCIM/jbc/Carex arenaria_dbgi_009457_02.jpg,DCIM/jbc/Carex arenaria_dbgi_009457_03.jpg,DCIM/jbc/Carex arenaria_dbgi_009457_04.jpg,DCIM/jbc/Carex arenaria_dbgi_009457_05.jpg,,2574770.55773448,1097977.8574431597,,,,,,,,20250805113614,0009-0006-7011-4195,@mazzarinel,dbgi_009457,jbc,POINT (2574770.55773448 1097977.8574431597)
Mazzarine Laboureau,Leaf,1,0,,1,Verbascum blattaria,dbgi_009468,DCIM/jbc/Verbascum blattaria_dbgi_009468_01.jpg,DCIM/jbc/Verbascum blattaria_dbgi_009468_02.jpg,DCIM/jbc/Verbascum blattaria_dbgi_009468_03.jpg,DCIM/jbc/Verbascum blattaria_dbgi_009468_04.jpg,DCIM/jbc/Verbascum blattaria_dbgi_009468_05.jpg,,2574770.107773761,1097978.1091053255,,,,,,,,20250805113930,0009-0006-7011-4195,@mazzarinel,dbgi_009468,jbc,POINT (2574770.107773761 1097978.1091053255)
